6,4555	4,16E-07
6,2765	3,80E-07
6,0975	3,43E-07
5,9185	3,09E-07
5,74	2,77E-07
5,561	2,48E-07
5,382	2,22E-07
5,2035	1,98E-07
5,0245	1,75E-07
4,8455	1,55E-07
4,6665	1,37E-07
4,488	1,20E-07
4,309	1,05E-07
4,13	9,11E-08
3,951	7,88E-08
3,7725	6,78E-08
3,5935	5,81E-08
3,4145	4,94E-08
3,236	4,18E-08
3,057	3,73E-08
2,878	3,07E-08
2,699	2,54E-08
2,5205	2,08E-08
2,3415	1,71E-08
2,1625	1,39E-08
1,984	1,11E-08
1,805	8,99E-09
1,626	7,15E-09
1,447	5,68E-09
1,2685	4,50E-09
1,0895	3,74E-09
0,9105	3,09E-09
0,7315	2,49E-09
0,553	1,99E-09
0,374	1,59E-09
0,195	9,26E-10
0,0165	8,98E-10
-0,1625	7,31E-10
-0,3415	6,80E-10
-0,5205	5,36E-10
-0,699	5,99E-10
-0,878	5,05E-10
-1,057	5,05E-10
-1,236	5,22E-10
-1,4145	4,74E-10
-1,5935	3,24E-10
-1,7725	5,23E-10
-1,951	4,75E-10
-2,13	4,66E-10
-2,309	6,02E-10
-2,488	5,81E-10
-2,6665	5,91E-10
-2,8455	5,51E-10
-3,0245	6,36E-10
-3,203	6,06E-10
-3,382	6,12E-10
-3,561	6,55E-10
-3,74	6,74E-10
-3,9185	7,64E-10
-4,0975	6,05E-10
-4,2765	9,94E-10
-4,4555	1,06E-09
-4,634	7,83E-10
-4,813	1,05E-09
-4,992	1,17E-09
-5,1705	1,24E-09
-5,3495	1,30E-09
-5,5285	1,09E-09
-5,7075	1,39E-09
-5,886	1,54E-09
-6,065	1,61E-09
-6,244	1,60E-09
-6,423	1,33E-09
-6,6015	1,65E-09
-6,7805	1,69E-09
-6,9595	1,78E-09
-7,138	1,80E-09
-7,317	1,55E-09
-7,496	1,94E-09
-7,675	1,91E-09
-7,8535	1,73E-09
-8,0325	2,18E-09
-8,2115	2,08E-09
-8,39	2,15E-09
-8,569	2,24E-09
-8,748	2,03E-09
-8,927	2,37E-09
-9,1055	2,48E-09
-9,2845	2,87E-09
-9,4635	2,87E-09
-9,6425	2,65E-09
-9,821	3,01E-09
-10	2,99E-09
