0			5,37047229604015E-12	-7,74545672044269E-9	-4,39405738461573E-8	-1,53528901591926E-7	-4,58643228284927E-7	-1,19881929094845E-6	-1,72625323102693E-6	-3,00577517009515E-6	-6,18328931523138E-6	-7,50513618186233E-6	-1,09084721771069E-5
7,44000005722046	1,98590353051031E-8	1,06280545253412E-7	3,34321896389156E-7	8,73105022947129E-7	2,03060972125968E-6	4,27726581619936E-6	7,85973952588392E-6	1,34309511850006E-5	2,18140321521787E-5	3,32674790115561E-5	4,76310924568679E-5
7,59999990463257	2,01589536175106E-8	1,07490350842454E-7	3,37882283929503E-7	8,8326322611465E-7	2,05647506845708E-6	4,33440118285944E-6	7,97370375948958E-6	1,36394482979085E-5	2,21663103729952E-5	3,38138306688052E-5	4,84614829474594E-5
7,7649998664856		2,04940473480519E-8	1,08684709232421E-7	3,41480927090743E-7	8,93522326350649E-7	2,08247979571752E-6	4,39274936070433E-6	8,0906747825793E-6	1,38519453685149E-5	2,25265357585158E-5	3,43762294505723E-5	4,93124061904382E-5
7,92500019073486	2,0746353968093E-8	1,09823005800536E-7	3,44882181479989E-7	9,03233456028829E-7	2,10688062907138E-6	4,44724673798191E-6	8,20048353489256E-6	1,40533084049821E-5	2,2867025109008E-5	3,49124638887588E-5	4,99762682011351E-5
8,08500003814697	2,10868869032765E-8	1,11024888838074E-7	3,48146073747557E-7	9,12578570932965E-7	2,1307282622729E-6	4,50095876658452E-6	8,30813951324672E-6	1,42499156936537E-5	2,32003094424726E-5	3,54382900695782E-5	5,07621298311278E-5
8,25			2,13674624660598E-8	1,12117390926869E-7	3,5133740539095E-7	9,21856894819939E-7	2,15434579331486E-6	4,55382041764096E-6	8,41549626784399E-6	1,44460254887235E-5	2,35354509641184E-5	3,59695295628626E-5	5,1551018259488E-5
8,40999984741211	2,16658992968632E-8	1,13214291275199E-7	3,54426418880394E-7	9,30802912080253E-7	2,17653337131196E-6	4,60462251794524E-6	8,51898676046403E-6	1,46352886076784E-5	2,38581505982438E-5	3,64790212188382E-5	5,23126691405196E-5
8,56999969482422	2,19361879771895E-8	1,14271031748103E-7	3,57441507503609E-7	9,39443623337866E-7	2,19881235352659E-6	4,65457787868218E-6	8,62000888446346E-6	1,4822103366896E-5	2,41743000515271E-5	3,69804110960104E-5	5,30630932189524E-5
8,73499965667725	2,22303100372301E-8	1,15335055284049E-7	3,60519464948084E-7	9,48226499986049E-7	2,22114840653376E-6	4,70548184239306E-6	8,72307646204717E-6	1,50118976307567E-5	2,44980819843477E-5	3,74953306163661E-5	5,38320564373862E-5
8,89500045776367	2,25072920301272E-8	1,16351465351272E-7	3,63357031574196E-7	9,56476924329763E-7	2,24216842070746E-6	4,75235538033303E-6	8,81997220858466E-6	1,5189564692264E-5	2,48028445639648E-5	3,7978941691108E-5	5,45599941688124E-5
9,05500030517578	2,27897842819402E-8	1,17345493322318E-7	3,66141733820768E-7	9,64631340139022E-7	2,26253018809075E-6	4,79914160678163E-6	8,91482068254845E-6	1,53650362335611E-5	2,51032524829498E-5	3,8454556488432E-5	5,52790625079069E-5
9,22000026702881	2,30901715525533E-8	1,18354407163679E-7	3,68952811413692E-7	9,72627276496496E-7	2,28301723836921E-6	4,84585461890674E-6	9,01071143744048E-6	1,55416637426242E-5	2,54053484241012E-5	3,89354936487507E-5	5,60016633244231E-5
9,38000011444092	2,33350139211552E-8	1,19274417897941E-7	3,71603391613462E-7	9,80462914412783E-7	2,3026707367535E-6	4,89058993480285E-6	9,10158451006282E-6	1,5709725630586E-5	2,5693228963064E-5	3,93983500543982E-5	5,66969029023312E-5
9,53999996185303	2,36363657535321E-8	1,20191899100064E-7	3,74118400259249E-7	9,87796738627367E-7	2,32172988035018E-6	4,9341720114171E-6	9,19196645554621E-6	1,58754683070583E-5	2,59782191278646E-5	3,98541560571175E-5	5,73809120396618E-5
9,70499992370605	2,38872601698858E-8	1,21136480402129E-7	3,76751728481395E-7	9,95418417915062E-7	2,34124854614493E-6	4,97887003803044E-6	9,28272675082553E-6	1,60447289090371E-5	2,62700941675575E-5	4,03202648158185E-5	5,80861960770562E-5
9,86499977111816	2,41547279955512E-8	1,22055340057159E-7	3,79234677438944E-7	1,00252975698822E-6	2,35941638493387E-6	5,00409169035265E-6	9,36814922170015E-6	1,62053111125715E-5	2,654345917108E-5	4,07612133130897E-5	5,87501999689266E-5
10,0249996185303	2,44153302020322E-8	1,22894974197152E-7	3,8167740967765E-7	1,00939985259174E-6	2,37747053688508E-6	5,04292120240279E-6	9,4526121756644E-6	1,63626846187981E-5	2,68142193817766E-5	4,1192823118763E-5	5,94074008404277E-5
10,1899995803833	2,46943177018011E-8	1,23753864045284E-7	3,84035956813022E-7	1,0163089427806E-6	2,39527298617759E-6	5,08246967001469E-6	9,53631115407916E-6	1,65187921083998E-5	2,70847376668826E-5	4,16283874073997E-5	6,00663588556927E-5
10,3500003814697	2,49391742812577E-8	1,24599139894599E-7	3,86316571621137E-7	1,02293790860131E-6	2,412183675915E-6	5,12022597831674E-6	9,61755631578853E-6	1,66695826919749E-5	2,7344534828444E-5	4,20466822106391E-5	6,06990906817373E-5
10,5100002288818	2,51989380473105E-8	1,25435065001511E-7	3,88582009236416E-7	1,02948104085954E-6	2,42905343839084E-6	5,15746978635434E-6	9,69666689343285E-6	1,68177084560739E-5	2,76002811006038E-5	4,24604149884544E-5	6,13269075984135E-5
10,6750001907349	2,54241818709033E-8	1,26263770994228E-7	3,9088456560421E-7	1,03593970379734E-6	2,44565126195084E-6	5,19590366820921E-6	9,77752188191516E-6	1,69694121723296E-5	2,78625157079659E-5	4,28842249675654E-5	6,19706115685403E-5
10,835000038147		2,57166501427264E-8	1,27035008290477E-7	3,93168335222072E-7	1,04191883565363E-6	2,46158424488385E-6	5,23161224919022E-6	9,85443148238119E-6	1,71126284840284E-5	2,81102693406865E-5	4,32841370638926E-5	6,25787943135947E-5
10,9949998855591	2,59484647102681E-8	1,27829935081536E-7	3,9515836647297E-7	1,04797538824641E-6	2,47702678279893E-6	5,26671919942601E-6	9,92845525615849E-6	1,72527707036352E-5	2,83538101939484E-5	4,36760747106746E-5	6,31791626801714E-5
11,1599998474121	2,62152983765418E-8	1,28571400637156E-7	3,97325806034132E-7	1,05401261407678E-6	2,49258437179378E-6	5,3020362429379E-6	1,00030565590714E-5	1,73930693563307E-5	2,85972182609839E-5	4,40679432358593E-5	6,37793200439774E-5
11,3199996948242	2,64452886256095E-8	1,29324092768002E-7	3,99244811433164E-7	1,05973765585077E-6	2,50760194830946E-6	5,33592765350477E-6	1,00745155577897E-5	1,75279965333175E-5	2,8832317184424E-5	4,44482466264162E-5	6,43569073872641E-5
11,4799995422363	2,66724633490867E-8	1,3003695187308E-7	4,01136560412851E-7	1,0652807986844E-6	2,52221639129857E-6	5,36914240001352E-6	1,01447712950176E-5	1,76625053427415E-5	2,9060392989777E-5	4,48200080427341E-5	6,49296125629917E-5
11,6450004577637	2,69196593905008E-8	1,30791761421278E-7	4,03217740085893E-7	1,07106598079554E-6	2,53714983955433E-6	5,40345854460611E-6	1,02165167845669E-5	1,77978236024501E-5	2,92989825538825E-5	4,52039312222041E-5	6,55185867799446E-5
11,8050003051758	2,7168701066671E-8	1,31494388710962E-7	4,05049206619879E-7	1,07646258129535E-6	2,55128384196723E-6	5,4351839935407E-6	1,02842859632801E-5	1,79265371116344E-5	2,95217851089546E-5	4,5566866901936E-5	6,60759542370215E-5
11,9700002670288	2,73955826912697E-8	1,32198891833468E-7	4,06894599791485E-7	1,08203175841481E-6	2,56490102401585E-6	5,46689261682332E-6	1,03520696939086E-5	1,8053962776321E-5	2,97458900604397E-5	4,59287221019622E-5	6,66327323415317E-5
12,1300001144409	2,76753198136248E-8	1,32808494868186E-7	4,08778277005695E-7	1,08704603007936E-6	2,57799024439009E-6	5,49754531675717E-6	1,04175651358673E-5	1,81773448275635E-5	2,99603889288846E-5	4,62764910480473E-5	6,71733214403503E-5
12,289999961853		2,78979612744479E-8	1,33544247660211E-7	4,10518708804375E-7	1,09212135157577E-6	2,59085300058359E-6	5,52743267689948E-6	1,0480026503501E-5	1,82982239493867E-5	3,01707696053199E-5	4,6624532842543E-5	6,77025309414603E-5
12,4549999237061	2,812021548948E-8	1,34193172129926E-7	4,12322151532862E-7	1,09721224816894E-6	2,60404317486973E-6	5,55775750399334E-6	1,05460312624928E-5	1,84222863026662E-5	3,03869601339102E-5	4,69773731310852E-5	6,82483369018883E-5
12,6149997711182	2,83731687034106E-8	1,34849557298367E-7	4,14088020761483E-7	1,1019884595953E-6	2,61681088886689E-6	5,5868204071885E-6	1,06076140582445E-5	1,85394928848837E-5	3,05920548271388E-5	4,73134059575386E-5	6,8765897594858E-5
12,7749996185303	2,86158599038799E-8	1,35534364176237E-7	4,15815236465278E-7	1,10655992102693E-6	2,62889352597995E-6	5,61455863135052E-6	1,06668467196869E-5	1,86533161468105E-5	3,07928130496293E-5	4,76410605187994E-5	6,92753819748759E-5
12,9399995803833	2,88620132238293E-8	1,36123446736747E-7	4,17573460254062E-7	1,11133158497978E-6	2,64076152234338E-6	5,64267975278199E-6	1,07275209302315E-5	1,87667246791534E-5	3,09949973598123E-5	4,7970206651371E-5	6,97848299751058E-5
13,1000003814697	2,90645782996535E-8	1,36709545017766E-7	4,19184488009705E-7	1,11602457764093E-6	2,65286621470295E-6	5,66984135730308E-6	1,07849409687333E-5	1,88779667951167E-5	3,11877047352027E-5	4,82890318380669E-5	7,02820470905863E-5
13,2600002288818	2,93038002752155E-8	1,37291280566387E-7	4,20878905060817E-7	1,1203788972125E-6	2,66437291429611E-6	5,69661233384977E-6	1,08417170849862E-5	1,89859511010582E-5	3,13795244437642E-5	4,86019780510105E-5	7,07695508026518E-5
13,4250001907349	2,95241875392094E-8	1,3791934350138E-7	4,22517757669993E-7	1,12477368929831E-6	2,67590917246707E-6	5,72427461520419E-6	1,09007551145623E-5	1,90976134035736E-5	3,15758443321101E-5	4,89249905513134E-5	7,12722758180462E-5
13,585000038147		2,97837345897278E-8	1,38508724489839E-7	4,24062733372921E-7	1,12897089366015E-6	2,68706503447902E-6	5,74962405153201E-6	1,0956247933791E-5	1,92027946468443E-5	3,17608355544508E-5	4,9227168346988E-5	7,17402799637057E-5
13,7449998855591	3,00058076163623E-8	1,39046832714484E-7	4,25683992943959E-7	1,13298540327378E-6	2,69761926574574E-6	5,77448963667848E-6	1,1008915862476E-5	1,93062314792769E-5	3,19406208291184E-5	4,95274980494287E-5	7,22092445357703E-5
13,9099998474121	3,02155989118091E-8	1,39686775924019E-7	4,27353654686158E-7	1,13711769245128E-6	2,70814780378714E-6	5,79951893087127E-6	1,10630126073374E-5	1,94099084183108E-5	3,21226907544769E-5	4,98289336974267E-5	7,26856160326861E-5
14,0699996948242	3,04422869135124E-8	1,40254570624165E-7	4,28810693620107E-7	1,14092449621239E-6	2,71855196842807E-6	5,82372831559042E-6	1,11139961518347E-5	1,95093416550662E-5	3,22984597005416E-5	5,00502064824104E-5	7,3135961429216E-5
14,2299995422363	3,06710674635724E-8	1,40821654781575E-7	4,302256684241E-7	1,14482975277497E-6	2,72855504590552E-6	5,84743747822358E-6	1,11647195808473E-5	1,96068649529479E-5	3,247104541515E-5	5,03249393659644E-5	7,35813518986106E-5
14,3950004577637	3,08878789212486E-8	1,41356025551431E-7	4,31800145861416E-7	1,14885779112228E-6	2,73865430244769E-6	5,87129352425109E-6	1,12165917016682E-5	1,97060489881551E-5	3,26471526932437E-5	5,06121141370386E-5	7,4039853643626E-5
